,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20,2020-04-21,2020-04-22,2020-04-23,2020-04-24,2020-04-25,2020-04-26,2020-04-27,2020-04-28,2020-04-29,2020-04-30,2020-05-01,2020-05-02,2020-05-03,2020-05-04,2020-05-05,2020-05-06,2020-05-07,2020-05-08,2020-05-09,2020-05-10,2020-05-11,2020-05-12,2020-05-13,2020-05-14,2020-05-15,2020-05-16,2020-05-17,2020-05-18,2020-05-19,2020-05-20,2020-05-21,2020-05-22,2020-05-23,2020-05-24,2020-05-25,2020-05-26,2020-05-27,2020-05-28,2020-05-29,2020-05-30,2020-05-31,2020-06-01,2020-06-02,2020-06-03,2020-06-04,2020-06-05,2020-06-06,2020-06-07,2020-06-08,2020-06-09,2020-06-10,2020-06-11,2020-06-12,2020-06-13,2020-06-14,2020-06-15,2020-06-16,2020-06-17,2020-06-18,2020-06-19,2020-06-20,2020-06-21,2020-06-22,2020-06-23,2020-06-24,2020-06-25,2020-06-26,2020-06-27,2020-06-28,2020-06-29,2020-06-30,2020-07-01,2020-07-02,2020-07-03,2020-07-04,2020-07-05,2020-07-06,2020-07-07,2020-07-08,2020-07-09,2020-07-10,2020-07-11,2020-07-12,2020-07-13,2020-07-14,2020-07-15,2020-07-16,2020-07-17,2020-07-18,2020-07-19,2020-07-20,2020-07-21,2020-07-22,2020-07-23,2020-07-24,2020-07-25,2020-07-26,2020-07-27,2020-07-28,2020-07-29,2020-07-30,2020-07-31,2020-08-01,2020-08-02,2020-08-03,2020-08-04,2020-08-05,2020-08-06,2020-08-07,2020-08-08,2020-08-09,2020-08-10,2020-08-11,2020-08-12,2020-08-13,2020-08-14,2020-08-15,2020-08-16,2020-08-17,2020-08-18,2020-08-19,2020-08-20,2020-08-21,2020-08-22,2020-08-23,2020-08-24,2020-08-25,2020-08-26,2020-08-27,2020-08-28,2020-08-29,2020-08-30,2020-08-31,2020-09-01,2020-09-02,2020-09-03,2020-09-04,2020-09-05,2020-09-06,2020-09-07,2020-09-08,2020-09-09,2020-09-10,2020-09-11,2020-09-12,2020-09-13
US,1.0,1.0,2.0,2.0,5.0,5.0,5.0,5.0,5.0,7.0,8.0,8.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0,15.0,15.0,15.0,15.0,15.0,15.0,16.0,16.0,24.0,30.0,52.0,72.0,103.0,172.0,215.0,337.0,450.0,515.0,713.0,1105.0,1530.0,2115.0,2814.0,2986.0,4354.0,5970.0,8386.0,12674.0,18736.0,24508.0,33152.0,43850.0,54112.0,66055.0,83611.0,102101.0,122059.0,141205.0,162707.0,188744.0,214205.0,244610.0,276547.0,309699.0,337573.0,367215.0,397992.0,429686.0,464442.0,497943.0,527969.0,556522.0,581813.0,608878.0,637974.0,669272.0,701996.0,730266.0,756544.0,783931.0,809295.0,837627.0,871617.0,907908.0,940829.0,968518.0,990983.0,1015518.0,1043038.0,1072667.0,1106829.0,1136024.0,1161611.0,1184086.0,1208271.0,1233527.0,1261409.0,1288587.0,1314320.0,1334084.0,1352962.0,1375152.0,1396110.0,1423727.0,1449027.0,1474128.0,1493132.0,1514901.0,1535350.0,1559157.0,1584512.0,1608653.0,1630476.0,1651289.0,1670280.0,1689163.0,1707445.0,1730260.0,1754764.0,1779214.0,1799124.0,1816479.0,1837374.0,1857332.0,1878683.0,1903907.0,1926639.0,1944370.0,1961785.0,1979912.0,2000706.0,2023656.0,2048986.0,2074542.0,2094366.0,2114026.0,2137731.0,2163290.0,2191099.0,2222579.0,2255328.0,2281767.0,2312303.0,2347491.0,2382426.0,2422299.0,2467554.0,2510259.0,2549864.0,2590668.0,2636414.0,2687588.0,2742049.0,2795361.0,2841241.0,2891124.0,2936077.0,2996098.0,3054699.0,3117946.0,3185737.0,3245925.0,3304942.0,3364157.0,3431574.0,3498902.0,3576157.0,3647715.0,3711413.0,3773260.0,3834677.0,3899211.0,3970121.0,4038816.0,4112531.0,4178970.0,4233923.0,4290337.0,4356206.0,4426982.0,4495015.0,4562107.0,4620592.0,4668172.0,4713540.0,4771080.0,4823890.0,4883582.0,4941755.0,4997929.0,5044864.0,5094400.0,5141208.0,5197411.0,5248958.0,5313252.0,5361165.0,5403213.0,5438325.0,5483388.0,5529824.0,5573847.0,5622470.0,5667070.0,5701645.0,5739536.0,5777710.0,5821819.0,5867785.0,5913941.0,5961094.0,5996431.0,6030587.0,6073840.0,6113510.0,6150016.0,6200518.0,6244970.0,6276365.0,6300622.0,6327009.0,6360212.0,6396100.0,6443652.0,6485123.0,6519573.0
India,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,28.0,30.0,31.0,34.0,39.0,43.0,56.0,62.0,73.0,82.0,102.0,113.0,119.0,142.0,156.0,194.0,244.0,330.0,396.0,499.0,536.0,657.0,727.0,887.0,987.0,1024.0,1251.0,1397.0,1998.0,2543.0,2567.0,3082.0,3588.0,4778.0,5311.0,5916.0,6725.0,7598.0,8446.0,9205.0,10453.0,11487.0,12322.0,13430.0,14352.0,15722.0,17615.0,18539.0,20080.0,21370.0,23077.0,24530.0,26283.0,27890.0,29451.0,31324.0,33062.0,34863.0,37257.0,39699.0,42505.0,46437.0,49400.0,52987.0,56351.0,59695.0,62808.0,67161.0,70768.0,74292.0,78055.0,81997.0,85784.0,90648.0,95698.0,100328.0,106475.0,112028.0,118226.0,124794.0,131423.0,138536.0,144950.0,150793.0,158086.0,165386.0,173491.0,181827.0,190609.0,198370.0,207191.0,216824.0,226713.0,236184.0,246622.0,257486.0,265928.0,276146.0,286605.0,297535.0,308993.0,320922.0,332424.0,343091.0,354065.0,366946.0,380532.0,395048.0,410451.0,425282.0,440215.0,456183.0,473105.0,490401.0,508953.0,528859.0,548318.0,566840.0,585481.0,604641.0,625544.0,648315.0,673165.0,697413.0,719664.0,742417.0,767296.0,793802.0,820916.0,849522.0,878254.0,906752.0,936181.0,968857.0,1003832.0,1039084.0,1077781.0,1118206.0,1155338.0,1193078.0,1238798.0,1288108.0,1337024.0,1385635.0,1435616.0,1480073.0,1531669.0,1581963.0,1634746.0,1695988.0,1750723.0,1803695.0,1855745.0,1908254.0,1964536.0,2027074.0,2088611.0,2153010.0,2215074.0,2268675.0,2329638.0,2396637.0,2461190.0,2525922.0,2589952.0,2647663.0,2702681.0,2767253.0,2836925.0,2905825.0,2975701.0,3044940.0,3106348.0,3167323.0,3224547.0,3310234.0,3387500.0,3463972.0,3542733.0,3621245.0,3691166.0,3769523.0,3853406.0,3936747.0,4023179.0,4113811.0,4204613.0,4280422.0,4370128.0,4465863.0,4562414.0,4659984.0,4754356.0,4754356.0
Brazil,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,4.0,13.0,13.0,20.0,25.0,31.0,38.0,52.0,151.0,151.0,162.0,200.0,321.0,372.0,621.0,793.0,1021.0,1546.0,1924.0,2247.0,2554.0,2985.0,3417.0,3904.0,4256.0,4579.0,5717.0,6836.0,8044.0,9056.0,10360.0,11130.0,12161.0,14034.0,16170.0,18092.0,19638.0,20727.0,22192.0,23430.0,25262.0,28320.0,30425.0,33682.0,36658.0,38654.0,40743.0,43079.0,45757.0,50036.0,54043.0,59324.0,63100.0,67446.0,73235.0,79685.0,87187.0,92202.0,97100.0,101826.0,108620.0,115455.0,126611.0,135773.0,146894.0,156061.0,162699.0,169594.0,178214.0,190137.0,203165.0,220291.0,233511.0,241080.0,255368.0,271885.0,291579.0,310087.0,330890.0,347398.0,363211.0,374898.0,391222.0,411821.0,438238.0,465166.0,498440.0,514849.0,526447.0,555383.0,584016.0,614941.0,645771.0,672846.0,691758.0,707412.0,739503.0,772416.0,802828.0,828810.0,850514.0,867624.0,888271.0,923189.0,955377.0,978142.0,1032913.0,1067579.0,1083341.0,1106470.0,1145906.0,1188631.0,1228114.0,1274974.0,1313667.0,1344143.0,1368195.0,1402041.0,1448753.0,1496858.0,1539081.0,1577004.0,1603055.0,1623284.0,1668589.0,1713160.0,1755779.0,1800827.0,1839850.0,1864681.0,1884967.0,1926824.0,1966748.0,2012151.0,2046328.0,2074860.0,2098389.0,2118646.0,2159654.0,2227514.0,2287475.0,2343366.0,2394513.0,2419091.0,2442375.0,2483191.0,2552265.0,2610102.0,2662485.0,2707877.0,2733677.0,2750318.0,2801921.0,2859073.0,2912212.0,2962442.0,3012412.0,3035422.0,3057470.0,3109630.0,3164785.0,3224876.0,3275520.0,3317096.0,3340197.0,3359570.0,3407354.0,3456652.0,3501975.0,3532330.0,3582362.0,3605783.0,3622861.0,3669995.0,3717156.0,3761391.0,3804803.0,3846153.0,3862311.0,3908272.0,3950931.0,3997865.0,4041638.0,4091801.0,4123000.0,4137521.0,4147794.0,4162073.0,4197889.0,4238446.0,4282164.0,4315687.0,4330455.0
Russia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,4.0,13.0,13.0,17.0,17.0,20.0,20.0,28.0,45.0,59.0,63.0,90.0,114.0,147.0,199.0,253.0,306.0,367.0,438.0,495.0,658.0,840.0,1036.0,1264.0,1534.0,1836.0,2337.0,2777.0,3548.0,4149.0,4731.0,5389.0,6343.0,7497.0,8672.0,10131.0,11917.0,13584.0,15770.0,18328.0,21102.0,24490.0,27938.0,32008.0,36793.0,42853.0,47121.0,52763.0,57999.0,62773.0,68622.0,74588.0,80949.0,87147.0,93558.0,99399.0,106498.0,114431.0,124054.0,134687.0,145268.0,155370.0,165929.0,177160.0,187859.0,198676.0,209688.0,221344.0,232243.0,242271.0,252245.0,262843.0,272043.0,281752.0,290678.0,299941.0,308705.0,317554.0,326448.0,335882.0,344481.0,353427.0,362342.0,370680.0,379051.0,387623.0,396575.0,405843.0,414328.0,423186.0,431715.0,440538.0,449256.0,458102.0,467073.0,476043.0,484630.0,493023.0,501800.0,510761.0,519458.0,528267.0,536484.0,544725.0,552549.0,560321.0,568292.0,576162.0,583879.0,591465.0,598878.0,606043.0,613148.0,619936.0,626779.0,633563.0,640246.0,646929.0,653479.0,660231.0,666941.0,673564.0,680283.0,686852.0,693215.0,699749.0,706240.0,712863.0,719449.0,726036.0,732547.0,738787.0,745197.0,751612.0,758001.0,764215.0,770311.0,776212.0,782040.0,787890.0,793720.0,799499.0,805332.0,811073.0,816680.0,822060.0,827509.0,832993.0,838461.0,843890.0,849277.0,854641.0,859762.0,864948.0,870187.0,875378.0,880563.0,885718.0,890799.0,895691.0,900745.0,905762.0,910778.0,915808.0,920719.0,925558.0,930276.0,935066.0,939833.0,944671.0,949531.0,954328.0,959016.0,963655.0,968297.0,972972.0,977730.0,982573.0,987470.0,992402.0,997072.0,1001965.0,1006923.0,1011987.0,1017131.0,1022228.0,1027334.0,1032354.0,1037526.0,1042836.0,1048257.0,1053663.0,1059024.0
Peru,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,7.0,11.0,11.0,15.0,28.0,38.0,43.0,86.0,117.0,145.0,234.0,234.0,318.0,363.0,395.0,416.0,480.0,580.0,635.0,671.0,852.0,950.0,1065.0,1323.0,1414.0,1595.0,1746.0,2281.0,2561.0,2954.0,4342.0,5256.0,5897.0,6848.0,7519.0,9784.0,10303.0,11475.0,12491.0,13489.0,14420.0,15628.0,16325.0,17837.0,19250.0,20914.0,21648.0,25331.0,27517.0,28699.0,31190.0,33931.0,36976.0,40459.0,42534.0,45928.0,47372.0,51189.0,54817.0,58526.0,61847.0,65015.0,67307.0,68822.0,72059.0,76306.0,80604.0,84495.0,88541.0,92273.0,94933.0,99483.0,104020.0,108769.0,111698.0,115754.0,119959.0,123979.0,129751.0,135905.0,141779.0,148285.0,155671.0,164476.0,170039.0,178165.0,178914.0,183198.0,187400.0,191758.0,196515.0,199696.0,203736.0,208823.0,214788.0,214788.0,220749.0,229736.0,232992.0,237156.0,240908.0,244388.0,247925.0,251338.0,254936.0,257447.0,260810.0,264689.0,268602.0,272364.0,275989.0,279419.0,282365.0,285213.0,288477.0,292004.0,295599.0,299080.0,302718.0,305703.0,309278.0,312911.0,316448.0,319646.0,322710.0,326326.0,330123.0,333867.0,337751.0,341586.0,345537.0,349500.0,353590.0,357681.0,362087.0,366550.0,371096.0,375961.0,375961.0,375961.0,389717.0,395005.0,400683.0,400683.0,407492.0,407492.0,428850.0,433100.0,439890.0,447624.0,455409.0,463875.0,463875.0,478024.0,483133.0,489680.0,489680.0,498555.0,516296.0,516296.0,525803.0,535946.0,541493.0,549321.0,558420.0,567059.0,576067.0,585236.0,594326.0,600438.0,607382.0,613378.0,621997.0,629961.0,639435.0,647166.0,652037.0,657129.0,657129.0,670145.0,676848.0,683702.0,689977.0,691575.0,696190.0,702776.0,710067.0,716670.0,722832.0
Colombia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,3.0,9.0,9.0,13.0,22.0,34.0,57.0,75.0,102.0,108.0,158.0,196.0,231.0,277.0,378.0,470.0,491.0,539.0,608.0,702.0,798.0,906.0,1065.0,1161.0,1267.0,1406.0,1485.0,1579.0,1780.0,2054.0,2223.0,2473.0,2709.0,2776.0,2852.0,2979.0,3105.0,3233.0,3439.0,3621.0,3792.0,3977.0,4149.0,4356.0,4561.0,4881.0,5142.0,5379.0,5597.0,5949.0,6207.0,6507.0,7006.0,7285.0,7668.0,7973.0,8613.0,8959.0,9456.0,10051.0,10495.0,11063.0,11613.0,12272.0,12930.0,13610.0,14216.0,14939.0,15574.0,16295.0,16935.0,17687.0,18330.0,19131.0,20177.0,21175.0,21981.0,23003.0,24104.0,25366.0,26688.0,28236.0,29383.0,30493.0,31833.0,33354.0,35120.0,36635.0,38027.0,39236.0,40719.0,42078.0,43682.0,45212.0,46858.0,48746.0,50939.0,53063.0,54931.0,57046.0,60217.0,63276.0,65633.0,68652.0,71183.0,73572.0,77113.0,80599.0,84442.0,88591.0,91769.0,95043.0,97846.0,102009.0,106110.0,109505.0,113389.0,117110.0,120281.0,124494.0,128638.0,133973.0,140776.0,145632.0,150445.0,154277.0,159898.0,165169.0,173206.0,182140.0,190700.0,197278.0,204005.0,211038.0,218428.0,226373.0,233541.0,240795.0,248976.0,257101.0,267385.0,276055.0,286020.0,295508.0,306181.0,317651.0,327850.0,334979.0,345714.0,357710.0,367204.0,376870.0,387481.0,397623.0,410453.0,422519.0,433805.0,445111.0,456689.0,468332.0,476660.0,489122.0,502178.0,513719.0,522138.0,533103.0,541139.0,551688.0,562113.0,572243.0,581995.0,590492.0,599884.0,607904.0,615094.0,624026.0,633321.0,641574.0,650063.0,658456.0,666521.0,671848.0,671533.0,686851.0,694664.0,702088.0,708964.0,716319.0
Mexico,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,7.0,7.0,7.0,8.0,12.0,26.0,41.0,53.0,82.0,93.0,118.0,164.0,203.0,251.0,316.0,367.0,405.0,475.0,585.0,717.0,848.0,993.0,1094.0,1215.0,1378.0,1510.0,1688.0,1890.0,2143.0,2439.0,2785.0,3181.0,3441.0,3844.0,4219.0,4661.0,5014.0,5399.0,5847.0,6297.0,6875.0,7497.0,8261.0,8772.0,9501.0,10544.0,11633.0,12872.0,13842.0,14677.0,15529.0,16752.0,17799.0,19224.0,20739.0,22088.0,23471.0,24905.0,26025.0,27634.0,29616.0,31522.0,33460.0,35022.0,36327.0,38324.0,40186.0,42595.0,45032.0,47144.0,49219.0,51633.0,54346.0,56594.0,59567.0,62527.0,65856.0,68620.0,71105.0,74560.0,78023.0,81400.0,84627.0,87512.0,90664.0,93435.0,97326.0,101238.0,105680.0,110026.0,113619.0,117103.0,120102.0,124301.0,129184.0,133974.0,139196.0,142690.0,146837.0,150264.0,154863.0,159793.0,165455.0,170485.0,175202.0,180545.0,185122.0,191410.0,196847.0,202951.0,208392.0,212802.0,216852.0,220657.0,226089.0,231770.0,238511.0,245251.0,252165.0,256848.0,261750.0,268008.0,275003.0,282283.0,289174.0,295268.0,299750.0,304435.0,311486.0,317635.0,324041.0,331298.0,338913.0,344224.0,349396.0,356255.0,362274.0,370712.0,378285.0,385036.0,390516.0,395489.0,402697.0,408449.0,416179.0,424637.0,434193.0,439046.0,443813.0,449961.0,456100.0,462690.0,469407.0,475902.0,480278.0,485836.0,492522.0,498380.0,505751.0,511369.0,517714.0,522162.0,525733.0,531239.0,537031.0,543806.0,549734.0,556216.0,560164.0,563705.0,568621.0,573888.0,579914.0,585738.0,591712.0,595841.0,599560.0,606036.0,610957.0,616894.0,623090.0,629409.0,634023.0,637509.0,642860.0,647321.0,652364.0,658299.0,663973.0,668381.0
South Africa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,7.0,13.0,17.0,24.0,38.0,51.0,62.0,62.0,116.0,150.0,202.0,240.0,274.0,402.0,554.0,709.0,927.0,1170.0,1187.0,1280.0,1326.0,1353.0,1380.0,1462.0,1505.0,1585.0,1655.0,1686.0,1749.0,1845.0,1934.0,2003.0,2028.0,2173.0,2272.0,2415.0,2506.0,2605.0,2783.0,3034.0,3158.0,3300.0,3465.0,3635.0,3953.0,4220.0,4361.0,4546.0,4793.0,4996.0,5350.0,5647.0,5951.0,6336.0,6783.0,7220.0,7572.0,7808.0,8232.0,8895.0,9420.0,10015.0,10652.0,11350.0,12074.0,12739.0,13524.0,14355.0,15515.0,16433.0,17200.0,18003.0,19137.0,20125.0,21343.0,22583.0,23615.0,24264.0,25937.0,27403.0,29240.0,30967.0,32683.0,34357.0,35812.0,37525.0,40792.0,43434.0,45973.0,48285.0,50879.0,52991.0,55421.0,58568.0,61927.0,65736.0,70038.0,73533.0,76334.0,80412.0,83890.0,87715.0,92681.0,97302.0,101590.0,106108.0,111796.0,118375.0,124590.0,131800.0,138134.0,144264.0,151209.0,159333.0,168061.0,177124.0,187977.0,196750.0,205721.0,215855.0,224665.0,238339.0,250687.0,264184.0,276242.0,287796.0,298292.0,311049.0,324221.0,337594.0,350879.0,364328.0,373628.0,381798.0,394948.0,408052.0,421996.0,434200.0,445433.0,452529.0,459761.0,471123.0,482169.0,493183.0,503290.0,511485.0,516862.0,521318.0,529877.0,538184.0,545476.0,553188.0,559859.0,563598.0,566109.0,568919.0,572865.0,579140.0,583653.0,587345.0,589886.0,592144.0,596060.0,599940.0,603338.0,607045.0,609773.0,611450.0,613017.0,615701.0,618286.0,620132.0,622551.0,625056.0,627041.0,628259.0,630595.0,633015.0,635078.0,636884.0,638517.0,639362.0,640441.0,642431.0,644438.0,646398.0,648214.0,649793.0
Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,13.0,15.0,32.0,45.0,84.0,120.0,165.0,222.0,259.0,400.0,500.0,673.0,1073.0,1695.0,2277.0,2277.0,5232.0,6391.0,7798.0,9942.0,11748.0,13910.0,17963.0,20410.0,25374.0,28768.0,35136.0,39885.0,49515.0,57786.0,65719.0,73235.0,80110.0,87956.0,95923.0,104118.0,112065.0,119199.0,126168.0,131646.0,136675.0,141942.0,148220.0,153222.0,158273.0,163027.0,166831.0,170099.0,172541.0,177644.0,184948.0,190839.0,191726.0,198674.0,200210.0,204178.0,208389.0,213024.0,202990.0,205905.0,207634.0,209465.0,210773.0,212917.0,213435.0,215216.0,216582.0,217466.0,218011.0,219329.0,220325.0,221447.0,222857.0,223578.0,224350.0,227436.0,228030.0,228691.0,229540.0,230183.0,230698.0,230698.0,231606.0,232037.0,232555.0,233037.0,234824.0,235290.0,235772.0,235400.0,236259.0,236259.0,237906.0,238564.0,239228.0,239479.0,239638.0,239932.0,240326.0,240660.0,240978.0,241310.0,241550.0,241717.0,241966.0,242280.0,242707.0,243209.0,243605.0,243928.0,244109.0,244328.0,244683.0,245268.0,245575.0,245938.0,246272.0,246504.0,246752.0,247086.0,247486.0,247905.0,248469.0,248770.0,248970.0,249271.0,249659.0,250103.0,250545.0,250545.0,250545.0,251789.0,252130.0,252513.0,253056.0,253908.0,253908.0,253908.0,255953.0,256619.0,257494.0,258855.0,260255.0,260255.0,260255.0,264836.0,266194.0,267551.0,270166.0,272421.0,272421.0,272421.0,278782.0,280610.0,282641.0,285430.0,288522.0,288522.0,288522.0,297054.0,302814.0,305767.0,309855.0,314362.0,314362.0,314362.0,322980.0,326612.0,329784.0,337334.0,342813.0,342813.0,342813.0,359082.0,364196.0,370867.0,377906.0,386054.0,386054.0,386054.0,405436.0,412553.0,419849.0,429507.0,439286.0,439286.0,439286.0,462858.0,470973.0,479554.0,488513.0,498989.0,498989.0,498989.0,525549.0,534513.0,543379.0,554143.0,566326.0,566326.0,566326.0
Argentina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,8.0,12.0,12.0,17.0,19.0,19.0,31.0,34.0,45.0,56.0,68.0,79.0,97.0,128.0,158.0,266.0,301.0,387.0,387.0,502.0,589.0,690.0,745.0,820.0,1054.0,1054.0,1133.0,1265.0,1451.0,1451.0,1554.0,1628.0,1715.0,1795.0,1975.0,1975.0,2142.0,2208.0,2277.0,2443.0,2571.0,2669.0,2758.0,2839.0,2941.0,3031.0,3144.0,3435.0,3607.0,3780.0,3892.0,4003.0,4127.0,4285.0,4428.0,4532.0,4681.0,4783.0,4887.0,5020.0,5208.0,5371.0,5611.0,5776.0,6034.0,6278.0,6563.0,6879.0,7134.0,7479.0,7805.0,8068.0,8371.0,8809.0,9283.0,9931.0,10649.0,11353.0,12076.0,12628.0,13228.0,13933.0,14702.0,15419.0,16214.0,16851.0,17415.0,18319.0,19268.0,20197.0,21037.0,22020.0,22794.0,23620.0,24761.0,25987.0,27373.0,28764.0,30295.0,31577.0,32785.0,34159.0,35552.0,37510.0,39570.0,41204.0,42785.0,44931.0,47203.0,49851.0,52457.0,55343.0,57744.0,59933.0,62268.0,64530.0,67197.0,69941.0,72786.0,75376.0,77815.0,80447.0,83426.0,87030.0,90693.0,94060.0,97509.0,100166.0,103265.0,106910.0,111146.0,114783.0,119301.0,122524.0,126755.0,130774.0,136118.0,141900.0,148027.0,153520.0,158334.0,162526.0,167416.0,173355.0,178996.0,185373.0,191302.0,196543.0,201919.0,206743.0,213535.0,220682.0,228195.0,235677.0,241811.0,246499.0,253868.0,260911.0,268574.0,276072.0,282437.0,289100.0,294569.0,299126.0,305966.0,312659.0,320884.0,329043.0,336802.0,342154.0,350867.0,359638.0,370188.0,380292.0,392009.0,401239.0,408426.0,417735.0,428239.0,439172.0,451198.0,461882.0,471806.0,478792.0,488007.0,500034.0,512293.0,524198.0,535705.0,546481.0,555537.0
